WARNING 2025-01-24 12:56:01,800 basehttp 7 281473460531616 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,801 basehttp 7 281473364062624 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,801 basehttp 7 281473471017376 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,802 basehttp 7 281473450045856 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,802 basehttp 7 281473481503136 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,805 log 7 281473481503136 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-01-24 12:56:01,805 basehttp 7 281473481503136 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,846 log 7 281473471017376 Not Found: /static/admin/css/responsive.css
WARNING 2025-01-24 12:56:01,848 log 7 281473491988896 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-01-24 12:56:01,849 log 7 281473450045856 Not Found: /static/admin/css/login.css
WARNING 2025-01-24 12:56:01,850 basehttp 7 281473471017376 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,850 basehttp 7 281473491988896 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,851 basehttp 7 281473450045856 "GET /static/admin/css/login.css HTTP/1.1" 404 179
INFO 2025-01-24 12:56:03,472 basehttp 7 281473491988896 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
WARNING 2025-01-24 12:56:03,497 log 7 281473491988896 Not Found: /static/admin/css/base.css
WARNING 2025-01-24 12:56:03,498 log 7 281473460531616 Not Found: /static/admin/css/responsive.css
WARNING 2025-01-24 12:56:03,499 log 7 281473450045856 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-01-24 12:56:03,501 log 7 281473364062624 Not Found: /static/admin/js/theme.js
WARNING 2025-01-24 12:56:03,502 log 7 281473471017376 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-01-24 12:56:03,503 log 7 281473481503136 Not Found: /static/admin/css/login.css
WARNING 2025-01-24 12:56:03,503 basehttp 7 281473491988896 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,504 basehttp 7 281473460531616 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,504 basehttp 7 281473450045856 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,505 basehttp 7 281473364062624 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,505 basehttp 7 281473471017376 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,506 basehttp 7 281473481503136 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,508 log 7 281473481503136 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-01-24 12:56:03,509 basehttp 7 281473481503136 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,550 log 7 281473364062624 Not Found: /static/admin/css/responsive.css
WARNING 2025-01-24 12:56:03,552 log 7 281473491988896 Not Found: /static/admin/css/login.css
WARNING 2025-01-24 12:56:03,553 log 7 281473471017376 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-01-24 12:56:03,554 basehttp 7 281473364062624 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,554 basehttp 7 281473491988896 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,555 basehttp 7 281473471017376 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:03,622 log 7 281473491988896 Not Found: /favicon.ico
WARNING 2025-01-24 12:56:03,623 basehttp 7 281473491988896 "GET /favicon.ico HTTP/1.1" 404 179
